iteration,n_candidates,reward_time_ms,total_time_ms
1,1419,17025.411367416382,17026.110410690308
2,1418,1799.5867729187012,1915.4739379882812
3,1417,1793.3440208435059,1908.1315994262695
4,1416,1794.846773147583,1920.0830459594727
5,1415,1777.083396911621,1887.89701461792
6,1414,1791.7516231536865,1913.2542610168457
7,1413,1776.3147354125977,1888.0348205566406
8,1412,1791.9690608978271,1908.6647033691406
9,1411,1776.519536972046,1895.9648609161377
10,1410,1792.9930686950684,1909.8992347717285
11,1409,1757.5831413269043,1876.0719299316406
12,1408,1785.186767578125,1902.5428295135498
13,1407,1774.2159366607666,1884.9866390228271
14,1406,1796.177625656128,1913.4860038757324
15,1405,1766.5841579437256,1877.3682117462158
16,1404,1783.9758396148682,1903.977870941162
17,1403,1775.944709777832,1886.991024017334
18,1402,1777.064323425293,1898.1449604034424
19,1401,1758.6541175842285,1873.781681060791
20,1400,1771.2364196777344,1887.7379894256592
21,1399,1752.7666091918945,1863.1041049957275
22,1398,1769.608974456787,1888.8578414916992
23,1397,1756.2317848205566,1867.987871170044
24,1396,1755.6886672973633,1878.6962032318115
25,1395,1748.4543323516846,1858.33740234375
26,1394,1760.265588760376,1876.512050628662
27,1393,1770.841360092163,1896.50559425354
28,1392,1760.986328125,1877.36177444458
29,1391,1743.3350086212158,1853.3473014831543
30,1390,1760.218858718872,1875.3440380096436
31,1389,1747.2076416015625,1864.0875816345215
32,1388,1775.1567363739014,1890.322208404541
33,1387,1742.6226139068604,1857.8310012817383
34,1386,1757.1887969970703,1871.7114925384521
35,1385,1745.7690238952637,1859.2371940612793
36,1384,1763.8323307037354,1879.7292709350586
37,1383,1736.4492416381836,1846.2257385253906
38,1382,1758.946418762207,1872.8575706481934
39,1381,1743.5202598571777,1853.6570072174072
40,1380,1765.554666519165,1880.3739547729492
41,1379,1755.7518482208252,1865.086555480957
42,1378,1742.1715259552002,1857.3436737060547
43,1377,1741.607427597046,1851.9175052642822
44,1376,1742.0079708099365,1863.0006313323975
45,1375,1742.6180839538574,1856.7016124725342
46,1374,1737.9004955291748,1853.895902633667
47,1373,1740.8976554870605,1854.6533584594727
48,1372,1750.8981227874756,1866.2121295928955
49,1371,1731.1792373657227,1840.6767845153809
50,1370,1736.1769676208496,1851.7563343048096
51,1369,1725.0418663024902,1838.9620780944824
52,1368,1751.2292861938477,1867.973804473877
